==16550== NVPROF is profiling process 16550, command: ./01
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 8 blocks of 128 threads
Copy output data from the CUDA device to the host memory
threadIdx:(32, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(33, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(34, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(35, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(36, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(37, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(38, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(39, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(40, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(41, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(42, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(43, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(44, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(45, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(46, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(47, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(48, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(49, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(50, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(51, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(52, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(53, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(54, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(55, 0, 0) blockIdx:(4, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
